320i ED Sport Line,2015,Benzin,Yarı Otomatik,65000,163,1598 cc,780000
320i ED Sport Line,2014,Benzin,Yarı Otomatik,156000,163,1598 cc,605000
320i ED Techno Plus,2015,Benzin,Otomatik,95000,163,1598 cc,595000
316i Standart,1997,Benzin,Manuel,500000,163,1596 cc,118000
316i Standart,1992,Benzin & LPG,Otomatik,237000,163,1596 cc,83000
318i Standart,1991,Benzin & LPG,Manuel,213000,163,1796 cc,61000
320d xDrive M Sport,2013,Dizel,Yarı Otomatik,240000,163,1995 cc,539000
320d Premium Line,2018,Dizel,Otomatik,107000,163,1995 cc,750000
320i,2013,Benzin,Otomatik,212600,163,1997 cc,442500
318i Standart,2001,Benzin & LPG,Otomatik,222000,163,1995 cc,162000
328i,1995,Benzin & LPG,Manuel,294000,163,2793 cc,144000
316i M Sport,2014,Benzin,Yarı Otomatik,145000,163,1598 cc,480000
320i ED Modern Line,2014,Benzin,Otomatik,59300,113,1450 cc,589000
320i,1998,Benzin & LPG,Manuel,510,163,1991 cc,110500
320d Standart,2008,Dizel,Otomatik,230000,163,1995 cc,265000
318i Standart,1988,Benzin,Manuel,287000,163,1796 cc,280750
320i,2008,Benzin,Otomatik,160000,163,1995 cc,399000
